id, en_name,zh_name,desc
19, balloon flower ,桔梗,桔梗（Platycodon grandiflorus），别名包袱花、铃铛花、僧帽花，是多年生草本植物，茎高20～120厘米，通常无毛，偶密被短毛，不分枝，极少上部分枝。叶全部轮生，部分轮生至全部互生，无柄或有极短的柄，叶片卵形，卵状椭圆形至披针形，花暗蓝色或暗紫白色，可作观赏花卉；
100, blanket flower , 宿根天人菊 ,宿根天人菊（学名：Gaillardia aristata Pursh.）是菊科天人菊属多年生草本植物，高60-100厘米，全株被粗节毛。茎不分枝或稍有分枝。基生叶和下部茎叶长椭圆形或匙形；中部茎叶披针形、长椭圆形或匙形。舌状花黄色；管状花外面有腺点，裂片长三角形，顶端芒状渐尖，被节毛。瘦果长2毫米，被毛。花果期7-8月。
13, king protea , 帝王花 ,帝王花（Protea cynaroides），又名普蒂亚花，是南非共和国的国花。其花朵硕大、花形奇特、瑰丽多彩、高贵优雅，号称“花中之王”。久开不败的帝王花，被誉为全世界最富贵华丽的鲜花，代表着旺盛而顽强的生命力，并象征着胜利、圆满与吉祥。
49, oxeye daisy ,春白菊 ,春白菊是一种多年生的草本花卉，它的植株高度在60-100公分，花瓣洁白管状花充是黄色，每年的五六月份开花。春白菊喜欢光照充足、气候温暖的的生长环境，它也比较的耐寒、耐旱，但不耐荫、怕水涝，在土壤肥沃的生长环境下能够长得更好。
15,yellow iris , 黄菖蒲 ,黄菖蒲（学名：Iris pseudacorus L.）是鸢尾科鸢尾属植物，是多年生湿生或挺水宿根草本植物，植株高大，根茎短粗。叶子茂密，基生，绿色，长剑形，长60-100厘米，中肋明显，并具横向网状脉。花茎稍高出于叶，垂瓣上部长椭圆形，基部近等宽，具褐色斑纹或无，旗瓣淡黄色，花径8厘米。蒴果长形，内有种子多数，种子褐色，有棱角。花期5-6月份。
61,cautleya spicata ,红苞距药姜,红苞距药姜（学名：Cautleya spicata）为姜科距药姜属下的一个种。
31,carnation ,康乃馨 ,康乃馨（学名：Dianthus 'Carnation'）：是石竹科、石竹属多年生草本植物，是多种石竹属园艺品种的通称。为多年生草本植物，株高70-100厘米，基部半木质化。整个植株被有白粉，呈灰绿色。茎干硬而脆，节膨大。叶线状披针形，全缘，叶质较厚，上半部向外弯曲，对生，基部抱茎。花通常单生，聚伞状排列。花冠半球形，花萼长筒状，花蕾橡子状，花瓣扇形，花朵内瓣多呈皱缩状，花色有大红、粉红、鹅黄、白、深红等，还有玛瑙等复色及镶边等，有香气。
64,silverbush ,银灌木,作为常绿灌木，Silverbush 长到 2' 高和 3' 宽。它长着如丝般光滑的银灰色长矛状叶子。暮春时节，牵牛花开得像花。它们通常是白色的，但很少是粉红色的；他们有一个显着的黄色喉咙。
68,bearded iris , 有髯鸢尾 ,有髯鸢尾，杂交种，多年生草本。人们把垂瓣上有髯毛附属物的鸢尾统称为有髯鸢尾，有髯鸢尾不仅外花瓣中肋上具有色泽多变的细密髯毛状附属物，还具有花大、花形奇特、花色艳丽等特性。
63,black-eyed susan ,金光菊 ,金光菊（学名：Rudbeckia laciniata L.）：又名黑眼菊、黄菊、黄菊花、假向日葵等，属桔梗目、菊科多年生草本，茎无毛或稍有短糙毛。叶互生，无毛或被疏短毛。头状花序单生于枝端，具长花序梗。总苞半球形；花托球形；舌状花金黄色；舌片倒披针形；管状花黄色或黄绿色。瘦果无毛，稍有4棱。花期7-10月。
69,windflower , 银莲花,银莲花（Anemone cathayensis Kitag）是毛茛科、银莲花属植物。多年生草本。基生叶4-8；叶片圆肾形，两面疏生柔毛或变无毛，3全裂，中央裂片宽菱形或菱状倒卵形，3裂近中部；叶柄疏被长柔毛或变无毛。花葶高17-40厘米；总苞苞片约5，无柄，不等大，菱形或倒卵形，3裂或不分裂；伞形花序简单；花梗长3.5-5厘米；萼片5-6，白色或带粉红色，倒卵形，长1.5-2厘米；无花瓣；雄蕊多数，花丝条形；心皮无毛。瘦果扁平，宽椭圆形或近圆形，长约5毫米，宽4-5毫米。
62,japanese anemone , 秋牡丹 ,秋牡丹（学名：Anemone hupehensis Lem. var.japonica (Thunb.) Bowles et Stearn）别名是野棉花。是毛茛科，银莲花属多年生草本植物，株高可达120厘米。根状茎斜或垂直，基生叶有长柄，小叶片卵形或宽卵形，边缘有锯齿，两面有疏糙毛；花葶直立，聚伞花序，有较多花，苞片有柄为三出复叶，似基生叶；花梗有密或疏柔毛；萼片紫红色或粉红色，倒卵形，花药黄色，椭圆形，花丝丝形；聚合果球形，7月至10月开花。
20,giant white arum lily ,马蹄莲,一种半常绿、丛生的多年生植物，高 2 米，叶子大，有光泽，略带褶皱，有白色斑点，深绿色。从夏季到初秋，大而漏斗状的白色佛焰苞生长在叶子上方的直立茎上
38,great masterwort ,麦芽草,麦芽草植物，也被称为海蒂针垫，不仅有独特的花朵，而且恰好是少数在阴凉处茁壮成长的切花之一。这就是为什么这种华丽的植物非常适合那些没有充足阳光但仍希望花园里有流行色彩的人。
4, sweet pea , 香豌豆 ,香豌豆（学名：Lathyrus odoratus L.）是豆科山黧豆属植物，一年生草本，高50-200厘米，全株或多或少被毛。茎攀缘，多分枝，具翅。叶具1对小叶，托叶半箭形；叶轴具翅，叶轴末端具有分枝的卷须；小叶卵状长圆形或椭圆形，长2-6厘米，宽0.7-3厘米。总状花序长于叶，具1-3（-4）朵花，长于叶。荚果线形有时稍弯曲，长5-7厘米，宽1-1.2厘米，棕黄色，被短柔毛。种子平滑，种脐为周圆的1/4。花果期6-9月。
86, tree mallow , 花葵 ,花葵（学名：Lavatera arborea L.）是锦葵科、花葵属植物。二年生草本，高1-3米；枝带木质化，被软柔毛。叶肾形，5-9裂，长7-20厘米，宽近于相等，边缘具钝齿，两面均具软毛。花序排列成顶生总状花序，或1-4朵生于叶腋间，花梗长2-2.5厘米；被短柔毛，近端处有节；小苞片3枚，叶状，全缘，长1厘米，宽1.4厘米；萼片小，锐尖，长为小苞片的1/3；花冠暗紫红色，基部具深紫色脉，直径4-5厘米；雄蕊柱被硬毛，子房具心皮7。蒴果直径约1厘米，无毛，成熟心皮平滑，花柱基部膨大，圆锥状，直径约1.5毫米。
101, trumpet creeper , 凌霄花属 ,凌霄（学名：Campsis grandiflora (Thunb.) Schum.）是紫葳科、凌霄属攀援藤本植物。茎木质，表皮脱落，枯褐色，以气生根攀附于它物之上；叶对生，为奇数羽状复叶；小叶7-9枚，卵形至卵状披针形，侧脉6-7对，两面无毛，边缘有粗锯齿；叶轴长4-13厘米；小叶柄长5（-10）毫米；顶生疏散的短圆锥花序，花序轴长15-20厘米；花萼钟状，长3厘米；花冠内面鲜红色，外面橙黄色，长约5厘米，裂片半圆形；雄蕊着生于花冠筒近基部；花柱线形，长约3厘米；蒴果细长如豆荚，先端钝，每果含种子数粒。花期5-8月。
42, daffodil , 黄水仙(威尔士的民族象征) ,黄水仙（学名：Narcissus pseudonarcissus L.）：是石蒜科水仙属的植物，为多年生草本。叶绿色，略带灰色，基生，宽线形，先端钝。有皮鳞茎卵圆形，鳞茎最大者长0.45米，宽0.1米。花茎挺拔，顶生1花，花朵硕大，花横向或略向上开放，外花冠呈喇叭形、花瓣淡黄色，边缘呈不规则齿状皱榴。副花冠多变，花色温柔和谐，清香诱人，花期3-4月。是世界著名的球根花卉。
22, pincushion flower , 针垫花 ,针垫花（学名：Leucospermum nutans R.Br.）是山龙眼科、针垫花属常绿灌木。主干直立。叶无柄、簇生，叶片心脏形，全缘，革质。头状花序具苞片，单生或少数聚生，小花冠筒状，裂片2-4枚，雄蕊花丝长，淡红色，顶端白色。坚果白色。
2, hard-leaved pocket orchid ,硬叶袖珍兰花,硬叶袖珍兰花 (Paphiopedilum micranthum) 通常被称为银拖鞋兰花或袖珍兰花。它在冬末至夏初开花，每个花序开一朵花。
54, sunflower , 向日葵,向日葵（学名：Helianthus annuus L.；英文名：Sunflowers）：是桔梗目、菊科、向日葵属的植物。因花序随太阳转动而得名。一年生草本，高1-3.5米，最高可达9米。茎直立，圆形多棱角，质硬被白色粗硬毛。
66, osteospermum , 蓝眼菊,蓝眼菊（Osteospermum）是菊科金盏花族下的一个属。叶片多对生，耐寒品种叶片为披针形，半耐寒品种叶片椭圆形或披针形，叶缘有锯齿。叶色多为绿色，也有少量品种叶片具彩斑。头状花序单生于茎顶或组成聚伞花序。花盘中心通常为蓝色、黄色、紫色等，一些耐寒性强的品种花盘中心呈深蓝色。
70, tree poppy , 树罂粟 ,该属植物含白屈菜红碱和血根碱等物质。含白屈菜红碱植物如服用可引起呕吐、腹痛、腹泻和嗜睡。血根碱与流行性水肿有关，并可能损伤肝脏，外用会毁容。任何人使用树罂粟都有风险。
85, desert-rose ,沙漠玫瑰,沙漠玫瑰（Adenium obesum）是一种生长缓慢的植物，每年仅生长约 12 英寸。沙漠玫瑰经常被用作盆景植物，这要归功于其厚实多汁的树干、薄而精致的叶子和甜美的深粉红色喇叭花。它原产于非洲、中东和马达加斯加。
99, bromelia ,凤梨 ,凤梨（学名：Ananas comosus (Linn.) Merr.），俗称菠萝，为著名热带水果之一。其植株茎短，叶多数，莲座式排列，剑形，顶端渐尖，全缘或有锐齿，腹面绿色，背面粉绿色，边缘和顶端常带褐红色，生于花序顶部的叶变小，常呈红色。花序于叶丛中抽出，状如松球；苞片基部绿色，上半部淡红色，三角状卵形；萼片宽卵形，肉质，顶端带红色；花瓣长椭圆形，端尖，上部紫红色，下部白色。聚花果肉质。花期夏季至冬季。
87, magnolia ,木兰,木兰（拉丁学名：Magnolia liliflora Desr），是木兰目木兰科木兰属下的植物，为落叶乔木，木兰原产中国中部山地混交林内和山地林中，海拔700-1800米的山坡杂木林中
5, english marigold , 英国万寿菊 ,万寿菊（Tagetes erecta L.）为菊科万寿菊属一年生草本植物，茎直立，粗壮，具纵细条棱，分枝向上平展。叶羽状分裂；沿叶缘有少数腺体。头状花序单生；总苞杯状，顶端具齿尖；舌状花黄色或暗橙色；管状花花冠黄色。瘦果线形，基部缩小，黑色或褐色，被短微毛；冠毛有1-2个长芒和2-3个短而钝的鳞片。花期7-9月。
92, bee balm ,香蜂草,香蜂草属，唇形科一属。含12种，称为香柠檬、马薄荷和香蜂草。原产北美，现广泛栽培。
28, stemless gentian ,无茎龙胆,"无茎龙胆，但这种常年充满个性的岩石花园也被称为喇叭龙胆。在过去，Clusius 的龙胆 (Gentiana clusii) 这个名称也被用作同义词，今天这两个物种被单独列出。它们被认为是替代物种，彼此非常相似，但发生在地理上不同的区域。虽然 Gentiana clusii 仅出现在石灰石上，但 Gentiana acaulis 具有钙化作用。它的自然分布范围是海拔 800 至 3,000 米（2,626 至 9,840 英尺）之间的阿尔卑斯山、汝拉山脉、塞文山脉和比利牛斯山脉。"
97, mallow , 锦葵 ,锦葵（学名：Malva sinensis Cavan.）：二年生或多年生直立草本，高50-90厘米，分枝多，疏被粗毛。叶圆心形或肾形，具5-7圆齿状钝裂片，两面均无毛或仅脉上疏被短糙伏毛。花3-11朵簇生，小苞片3，长圆形疏被柔毛；花紫红色或白色，直径3.5-4厘米，花瓣5，匙形，长2厘米，先端微缺，爪具髯毛。果扁圆形，分果爿9-11，肾形，被柔毛；种子黑褐色，肾形，长2毫米。花期5-10月。
57, gaura , 山桃草属 ,山桃草（学名：Gaura lindheimeri Engelm. et Gray）是柳叶菜科、山桃草属植物。多年生宿根草本。高60-100厘米，叶无柄，椭圆状披针形或倒披针形，花期晚春至初秋；多花型，花蕾白色略带粉红，初花白色，谢花时浅粉红。花紫红色，成密生的穗状花序，花序较长。花期5-8月，果期8-9月。
40, lenten rose ,四旬期玫瑰,四旬期玫瑰（Helleborus x hybridus）为遮荫花园或归化区增添了美妙的色彩，其开花时间预示着春天的开始。它们在覆盖整个南卡罗来纳州的 USDA 耐寒区 4-9 中生长良好，即使对于初学者来说也是一个绝佳的选择。
47, marigold , 万寿菊;金盏花 ,万寿菊（Tagetes erecta L.）为菊科万寿菊属一年生草本植物，茎直立，粗壮，具纵细条棱，分枝向上平展。叶羽状分裂；沿叶缘有少数腺体。头状花序单生；总苞杯状，顶端具齿尖；舌状花黄色或暗橙色；管状花花冠黄色。瘦果线形，基部缩小，黑色或褐色，被短微毛；冠毛有1-2个长芒和2-3个短而钝的鳞片。花期7-9月。
59, orange dahlia ,橙色大丽花,大丽花（Dahlia pinnata Cav.），别名大理花、天竺牡丹、东洋菊、大丽菊、地瓜花，菊科、大丽花属植物，多年生草本，有巨大棒状块根。茎直立，多分枝，高1.5-2米，粗壮。原产于墨西哥，墨西哥人把它视为大方、富丽的象征，因此将它尊为国花。
48, buttercup , 毛茛(野生植物，开杯状有光泽的小黄花) ,毛茛（学名：Ranunculus japonicus Thunb.）是毛茛科，毛茛属多年生草本植物。须根多数簇生。茎直立，高可达70厘米，叶片圆心形或五角形，基部心形或截形，中裂片倒卵状楔形或宽卵圆形或菱形，两面贴生柔毛，叶柄生开展柔毛。裂片披针形，有尖齿牙或再分裂；聚伞花序有多数花，疏散；花贴生柔毛；萼片椭圆形，生白柔毛；花瓣倒卵状圆形，花托短小，无毛。聚合果近球形，瘦果扁平，4月至9月花果期。
55, pelargonium , 天竺葵,天竺葵属（学名：Pelargonium L'Hér. ex Aiton）是牻牛儿苗科下的一属。草本、亚灌木或灌木，具浓烈香气。茎略呈肉质。叶对生或互生；叶片圆形、肾圆形或扇形，不分裂或掌状分裂。边缘波状，具齿。花序通常为伞形或聚伞花序，稀为花单生，总花梗腋生或与叶对生；具苞片；雄蕊10，花丝基部通常合生或偏生，其中1-3枚无药或花药发育不全；子房合生，5心皮，5室，每室具2枚胚珠，花柱分枝5。蒴果具喙，5裂，成熟时果瓣由基部向上卷曲，附于喙的顶端，每室具1种子。种子无胚乳。包于两子叶之间。
36, ruby-lipped cattleya ,卡特兰,兰花、胸花兰或猫兰的皇后是兰科植物中的一种热带附生植物。它原产于热带新世界，美国农业部 10 至 12 区，从哥斯达黎加到阿根廷。Cattleya 在 1800 年代被狂热而鲁莽地收集，现在已列入 CITES 附录 II。所有出售的卡特兰现在都应该在温室中生产。附生植物生长在高大的丛林树的树枝上，其肉质根茎缠绕在树枝上以保持稳定。它从根茎周围聚集的空气、水和腐烂的植物物质中获取养分。所有这些使得在家里种植有点棘手——非常特殊的快速排水土壤、高湿度、非常特殊的光照要求、丛林温度。然而，Cattleya 是最容易种植的兰花之一。
91, hippeastrum , 朱莲花,朱顶红（学名：Hippeastrum rutilum）又名红花莲，是石蒜科朱顶红属的多年生草本。
29, artichoke , 洋蓟，球蓟(圆形蔬菜，绿色厚叶基部及茎内部均可食用) ,洋蓟原产地中海西部和中部地区，在古代已传到地中海东部地区。那时食用其嫩叶而非未成熟花头。其花供食用的类型最早于1400年左右见于意大利的纪录。洋蓟广泛种植于加利福尼亚、法国、西班牙、比利时、地中海附近各国及其他土壤肥沃、气候温和潮湿的地区，在中国大陆的陕西省、山东省均有分布。
71, gazania ,勋章花 ,勋章菊（学名：Gazania rigens Moench）是菊科，勋章菊属多年生草本植物，株高可达40厘米，叶由根际丛生，叶片披针形或倒卵状披针形，叶背密被白毛，叶形丰富。头状花序单生，舌状花和管状花两种，花色丰富多彩，有白、黄、橙红等色，花瓣有光泽，花心处多有黑色、褐色5-10月开花。
90, canna lily , 美人蕉 ,美人蕉（学名：Canna indica L.）：多年生草本植物，高可达1.5米，全株绿色无毛，被蜡质白粉。具块状根茎。地上枝丛生。单叶互生；具鞘状的叶柄；叶片卵状长圆形。总状花序，花单生或对生；萼片3，绿白色，先端带红色；花冠大多红色，外轮退化雄蕊2-3枚，鲜红色；唇瓣披针形，弯曲；蒴果，长卵形，绿色，花、果期3-12月。
18, peruvian lily , 水仙百合 ,六出花（学名：Alstroemeria aurea Graham）是六出花科、六出花属植物。多年生宿根草本，高约1米，根肥厚肉质，平卧土中延长，须根多；茎自根茎上不定芽萌发，直立而细长，叶片多数，互生状散生，披针形，光滑。花序下为一轮生叶，总花梗5，各具花2-3朵，插生于花被片基部；子房下位，3室，具种子多数。
98, mexican petunia ,蓝花草,蓝花草，学名叫狭叶翠芦莉，也叫竹叶草、鸭跖草、马兰花、马莲、旱蒲、竹叶草等。是爵床科芦莉草属多年生草本宿根植物。单叶对生，线状披针形。花腋生，花冠漏斗状，5裂，具放射状条纹，细波浪状，多蓝紫色，少数粉色或白色。果期由夏到秋，种子细小。
8, bird of paradise ,鹤望兰,鹤望兰（学名：Strelitzia reginae），又称天堂鸟或极乐鸟花，为鹤望兰科鹤望兰属物种，是原产南非的一种单子叶植物。它们学名是为纪念英王乔治三世王妃夏洛特皇后而取的。
30,sweet william ,美国石竹 ,美国石竹（学名：Dianthus barbatus L.）是石竹科，石竹属多年生草本植物，高可达60厘米，全株无毛。茎直立，叶片披针形，顶端急尖，基部渐狭，中脉明显。花多数，集成头状，有数枚叶状总苞片；花梗极短；苞片卵形，顶端尾状尖，边缘膜质，花萼筒状，裂齿锐尖；花瓣具长爪，瓣片卵形，；雄蕊稍露于外；子房长圆形，花柱线形。蒴果卵状长圆形，种子褐色，扁卵形，5-10月开花结果。
17,purple coneflower ,松果菊 ,松果菊（学名：Echinacea purpurea (Linn.) Moench）是菊科松果菊属植物，多年生草本植物。高50-150厘米，全株有粗毛，茎直立；叶缘具锯齿。基生叶卵形或三角形，茎生叶卯状披针形，叶柄基部略抱茎。头状花序，单生或多数聚生于技顶，花大，直径可达10厘米：花的中心部位凸起，呈球形，球上为管状花，橙黄色；种子浅褐色，外皮硬。花期夏秋。
52,wild pansy , 三色堇 ,三色堇（学名：Viola tricolor L.）是堇菜科堇菜属的二年或多年生草本植物。基生叶叶片长卵形或披针形，具长柄，茎生叶叶片卵形、长圆形或长圆披针形，先端圆或钝，边缘具稀疏的圆齿或钝锯齿。
84,columbine , 耧斗菜,耧斗菜，拉丁学名：（Aquilegia viridiflora Pall.），为双子叶植物纲、毛茛科、耧斗菜属下的一个植物种。原产于欧洲和北美。为多年生草本植物，根肥大，圆柱形，粗达1.5厘米，简单或有少数分枝，外皮黑褐色。根出叶，叶表面有光泽，背面有茸毛，在6、7月间开花，通常深蓝紫色或白色，花药黄色，供药用。
12,colts foot ,款冬,款冬（学名：Tussilago farfara L.）是菊科款冬属植物。多年生草本。根状茎横生地下，褐色。早春花叶抽出数个花葶，高5-10厘米，密被白色茸毛，有鳞片状，互生的苞叶，苞叶淡紫色。头状花序单生顶端，直径2.5-3厘米，初时直立，花后下垂。瘦果圆柱形，长3-4毫米；冠毛白色，长10-15毫米。后生出基生叶阔心形，具长叶柄，叶片长3-12厘米，宽4-14-厘米。
11,snapdragon ,金鱼草,金鱼草（学名：Antirrhinum majus L.）是玄参科、金鱼草属植物。 [7]  多年生直立草本，茎基部有时木质化，高可达80厘米。茎基部无毛，中上部被腺毛，基部有时分枝。叶下部的对生。总状花序顶生，密被腺毛；花梗长5-7毫米；花萼与花梗近等长，5深裂，裂片卵形，钝或急尖；雄蕊4枚，2强。蒴果卵形，长约15毫米，基部强烈向前延伸，被腺毛，顶端孔裂。
96,camellia ,山茶,山茶（学名：Camellia japonica L. ）：是双子叶植物纲山茶科植物。灌木或小乔木，高约9米，嫩枝无毛。叶革质，椭圆形，先端略尖，基部阔楔形，上面深绿色，干后发亮，无毛，下面浅绿色。花顶生，红色，无柄；苞片及萼片约10片，花瓣6-7片，外侧2片近圆形。蒴果圆球形，直径2.5-3厘米，2-3室，每室有种子1-2个，3爿裂开，果爿厚木质。花期1-4月。
23,fritillary ,贝母,贝母，（学名：Fritillaria sinica S. C. Chen），是百合目、百合科、贝母属的植物。
50,common dandelion , 药用蒲公英 ,药用蒲公英（学名：Taraxacum officinale）是多年生草本植物，长4-20厘米，宽10-65毫米。生长于海拔700-2200米间的低山草原、森林草甸或田间与路边。分布于新疆、哈萨克斯坦、吉尔吉斯斯坦及欧洲、北美洲等地。
44,poinsettia , 一品红,一品红（学名：Euphorbia pulcherrima Willd. et Kl.）是隶属于大戟科、大戟属的灌木。根圆柱状，极多分枝。茎直立，高1-3米，直径1-4 厘米，无毛。叶互生，卵状椭圆形、长椭圆形或披针形，绿色，边缘全缘或浅裂或波状浅裂，叶面被短柔毛或无毛，叶背被柔毛；苞叶5-7枚，狭椭圆形，长3-7厘米，宽1-2厘米，通常全缘，极少边缘浅波状分裂，朱红色。花序数个聚伞排列于枝顶；总苞坛状，淡绿色，边缘齿状5裂，裂片三角形，无毛。蒴果，三棱状圆形，平滑无毛。
53,primula , 报春花,报春花 （Primula malacoides Franch.）：报春花科报春花属二年生草本植物，通常被粉，叶簇生，叶片卵形至椭圆形或矩圆形，裂片具不整齐的小牙齿，叶柄被多细胞柔毛。花葶高可达40厘米，伞形花序，苞片线形或线状披针形，花梗纤细，花萼钟状，花冠粉红色，淡蓝紫色或近白色，蒴果球形，2-5月开花，3-6月结果。
